name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
microsoft/winget-cli,https://github.com/microsoft/winget-cli,23817,"WinGet is the Windows Package Manager. This project includes a CLI (Command Line Interface), PowerShell modules, and a COM (Component Object Model) API (Application Programming Interface).",The MIT License,0,0,0,2019-07-16
google-ai-edge/mediapipe,https://github.com/google-ai-edge/mediapipe,28614,"Cross-platform, customizable ML solutions for live and streaming media.",Apache License 2.0,0,0,0,2019-06-13
duckdb/duckdb,https://github.com/duckdb/duckdb,26564,DuckDB is an analytical in-process SQL database management system,The MIT License,0,0,0,2018-06-26
dmlc/xgboost,https://github.com/dmlc/xgboost,26599,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library,  for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Dask, Flink and DataFlow",Apache License 2.0,0,0,0,2014-02-06
cmderdev/cmder,https://github.com/cmderdev/cmder,26179,Lovely console emulator package for Windows,The MIT License,0,0,0,2013-07-09
yhirose/cpp-httplib,https://github.com/yhirose/cpp-httplib,13716,A C++ header-only HTTP/HTTPS server and client library,The MIT License,0,0,0,2012-09-22
microsoft/IoT-For-Beginners,https://github.com/microsoft/IoT-For-Beginners,15605,"12 Weeks, 24 Lessons, IoT for All!",The MIT License,0,0,0,2021-03-03
google/libphonenumber,https://github.com/google/libphonenumber,16982,"Google's common Java, C++ and JavaScript library for parsing, formatting, and validating international phone numbers.",Apache License 2.0,0,0,0,2014-12-03
uNetworking/uWebSockets,https://github.com/uNetworking/uWebSockets,17680,"Simple, secure & standards compliant web server for the most demanding of applications",Apache License 2.0,0,0,0,2016-03-21
qinguoyi/TinyWebServer,https://github.com/qinguoyi/TinyWebServer,17420,:fire: Linux下C++轻量级WebServer服务器,Apache License 2.0,0,0,0,2019-05-29
apache/arrow,https://github.com/apache/arrow,15008,Apache Arrow is the universal columnar format and multi-language toolbox for fast data interchange and in-memory analytics,Apache License 2.0,0,0,0,2016-02-17
microsoft/onnxruntime,https://github.com/microsoft/onnxruntime,15641,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",The MIT License,0,0,0,2018-11-10
spotify/annoy,https://github.com/spotify/annoy,13499,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk,Apache License 2.0,0,0,0,2013-04-01
rui314/mold,https://github.com/rui314/mold,14847,Mold: A Modern Linker 🦠,The MIT License,0,0,0,2020-09-29
TheCherno/Hazel,https://github.com/TheCherno/Hazel,11951,Hazel Engine,Apache License 2.0,0,0,0,2018-10-20
facebook/watchman,https://github.com/facebook/watchman,12927,"Watches files and records, or triggers actions, when they change. ",The MIT License,0,0,0,2012-11-29
webview/webview,https://github.com/webview/webview,12887,Tiny cross-platform webview library for C/C++. Uses WebKit (GTK/Cocoa) and Edge WebView2 (Windows).,The MIT License,0,0,0,2017-08-19
microsoft/BitNet,https://github.com/microsoft/BitNet,12738,Official inference framework for 1-bit LLMs,The MIT License,0,0,0,2024-08-05
sogou/workflow,https://github.com/sogou/workflow,13508,C++ Parallel Computing and Asynchronous Networking Framework,Apache License 2.0,0,0,0,2020-07-29
SFML/SFML,https://github.com/SFML/SFML,10642,Simple and Fast Multimedia Library,Zlib/libpng License,0,0,0,2011-03-25
apache/thrift,https://github.com/apache/thrift,10638,Apache Thrift,Apache License 2.0,0,0,0,2009-09-18
google/or-tools,https://github.com/google/or-tools,11626,Google's Operations Research tools:,Apache License 2.0,0,0,0,2015-02-21
gzc/CLRS,https://github.com/gzc/CLRS,9528,:notebook:Solutions to Introduction to Algorithms,The MIT License,0,0,0,2013-12-03
opencv/opencv_contrib,https://github.com/opencv/opencv_contrib,9554,Repository for OpenCV's extra modules,Apache License 2.0,0,0,0,2013-09-11
organicmaps/organicmaps,https://github.com/organicmaps/organicmaps,10547,"🍃 Organic Maps is a free Android & iOS offline maps app for travelers, tourists, hikers, and cyclists. It uses crowd-sourced OpenStreetMap data and is developed with love by the community. No ads, no tracking, no data collection, no crapware. Please donate to support the development!",Apache License 2.0,0,0,0,2020-12-27
android/ndk-samples,https://github.com/android/ndk-samples,10188,Android NDK samples with Android Studio,Apache License 2.0,0,0,0,2015-05-16
ange-yaghi/engine-sim,https://github.com/ange-yaghi/engine-sim,8776,Combustion engine simulator that generates realistic audio.,The MIT License,0,0,0,2021-12-18
baldurk/renderdoc,https://github.com/baldurk/renderdoc,9352,RenderDoc is a stand-alone graphics debugging tool.,The MIT License,0,0,0,2014-02-27
BYVoid/OpenCC,https://github.com/BYVoid/OpenCC,8730,Conversion between Traditional and Simplified Chinese,Apache License 2.0,0,0,0,2010-07-15
sass/node-sass,https://github.com/sass/node-sass,8506,:rainbow: Node.js bindings to libsass,The MIT License,0,0,0,2012-04-24
