name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
justauth/JustAuth,https://github.com/justauth/JustAuth,16723,"🏆Gitee 最有价值开源项目 🚀:100: 小而全而美的第三方登录开源组件。目前已支持Github、Gitee、微博、钉钉、百度、Coding、腾讯云开发者平台、OSChina、支付宝、QQ、微信、淘宝、Google、Facebook、抖音、领英、小米、微软、今日头条、Teambition、StackOverflow、Pinterest、人人、华为、企业微信、酷家乐、Gitlab、美团、饿了么、推特、飞书、京东、阿里云、喜马拉雅、Amazon、Slack和 Line 等第三方平台的授权登录。 Login, so easy!",The MIT License,13,1,14,2019-01-31
netty/netty,https://github.com/netty/netty,33797,Netty project - an event-driven asynchronous network application framework,Apache License 2.0,0,13,13,2010-11-09
quarkusio/quarkus,https://github.com/quarkusio/quarkus,14136,Quarkus: Supersonic Subatomic Java. ,Apache License 2.0,0,13,13,2018-07-06
ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,19864,RxJava bindings for Android,Apache License 2.0,6,5,11,2014-08-19
alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,28224,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.,Apache License 2.0,0,11,11,2017-12-01
didi/DoKit,https://github.com/didi/DoKit,20269,一款面向泛前端产品研发全生命周期的效率平台。,Apache License 2.0,4,5,9,2018-08-14
google/gson,https://github.com/google/gson,23565,A Java serialization/deserialization library to convert Java Objects into JSON and back,Apache License 2.0,9,0,9,2015-03-19
material-components/material-components-android,https://github.com/material-components/material-components-android,16571,Modular and customizable Material Design UI components for Android,Apache License 2.0,0,8,8,2016-12-05
scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,25050,🔥下拉刷新、上拉加载、二级刷新、淘宝二楼、RefreshLayout、OverScroll，Android智能下拉刷新框架，支持越界回弹、越界拖动，具有极强的扩展性，集成了几十种炫酷的Header和 Footer。,Apache License 2.0,0,7,7,2017-06-02
android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,15535,This is a sample app that is part of a series of blog posts I have written about how to architect an android application using Uncle Bob's clean architecture approach.,Apache License 2.0,7,0,7,2014-08-19
jeecgboot/JeecgBoot,https://github.com/jeecgboot/JeecgBoot,41534,🔥「AI 低代码平台」前后端分离 SpringBoot 2.x/3.x，SpringCloud，Ant Design&Vue3，Mybatis，Shiro！强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领AI低代码开发模式 AI生成->OnlineCoding->代码生成->手工MERGE，帮助Java项目解决80%重复工作，让开发更关注业务，提高开发效率、节省成本，同时又不失灵活性,Apache License 2.0,0,6,6,2018-11-26
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,25561,Bind Android views and callbacks to fields and methods.,Apache License 2.0,0,6,6,2013-03-05
alibaba/canal,https://github.com/alibaba/canal,28813,阿里巴巴 MySQL binlog 增量订阅&消费组件 ,Apache License 2.0,5,0,5,2013-01-13
CodePhiliaX/Chat2DB,https://github.com/CodePhiliaX/Chat2DB,19073,"🔥🔥🔥AI-driven database tool and SQL client, The hottest GUI client, supporting MySQL, Oracle, PostgreSQL, DB2, SQL Server, DB2, SQLite, H2, ClickHouse, and more.",Apache License 2.0,4,0,4,2023-06-20
libgdx/libgdx,https://github.com/libgdx/libgdx,23744,Desktop/Android/HTML5/iOS Java game development framework,Apache License 2.0,0,4,4,2012-08-10
hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,14543,A circular ImageView for Android,Apache License 2.0,3,0,3,2014-01-17
alibaba/Sentinel,https://github.com/alibaba/Sentinel,22579,"A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)",Apache License 2.0,0,3,3,2018-04-04
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,20540,"视频播放器（IJKplayer、ExoPlayer、MediaPlayer），HTTPS，16k page size，支持弹幕，外挂字幕，支持滤镜、水印、gif截图，片头广告、中间广告，多个同时播放，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频自带rotation的旋转（90,270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，列表全屏动画，视频加载速度，列表小窗口支持拖动，动画效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，列表切换详情页面无缝播放，rtsp、concat、mpeg。 ",Apache License 2.0,1,1,2,2016-11-13
apache/hadoop,https://github.com/apache/hadoop,14937,Apache Hadoop,Apache License 2.0,0,1,1,2014-08-28
doocs/leetcode,https://github.com/doocs/leetcode,32991,🔥LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解,Creative Commons Attribution Share Alike 4.0 International,0,1,1,2018-09-16
williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,17665,A collection of algorithms and data structures,The MIT License,0,1,1,2017-03-18
dromara/Sa-Token,https://github.com/dromara/Sa-Token,17067,一个轻量级 Java 权限认证框架，让鉴权变得简单、优雅！—— 登录认证、权限认证、分布式Session会话、微服务网关鉴权、单点登录、OAuth2.0,Apache License 2.0,0,1,1,2020-02-03
ben-manes/caffeine,https://github.com/ben-manes/caffeine,16285,A high performance caching library for Java,Apache License 2.0,1,0,1,2014-12-13
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,53924,Ghidra is a software reverse engineering (SRE) framework,Apache License 2.0,0,0,0,2019-03-01
macrozheng/mall,https://github.com/macrozheng/mall,79105,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,Apache License 2.0,0,0,0,2018-04-04
doocs/advanced-java,https://github.com/doocs/advanced-java,77030,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,Creative Commons Attribution Share Alike 4.0 International,0,0,0,2018-10-06
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,76196,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",Apache License 2.0,0,0,0,2012-10-19
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,28600,循序渐进，学习Spring Boot、Spring Boot & Shiro、Spring Batch、Spring Cloud、Spring Cloud Alibaba、Spring Security & Spring Security OAuth2，博客Spring系列源码：https://mrbird.cc,The MIT License,0,0,0,2018-05-02
zxing/zxing,https://github.com/zxing/zxing,33060,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",Apache License 2.0,0,0,0,2011-10-12
binarywang/WxJava,https://github.com/binarywang/WxJava,30541,微信开发 Java SDK ，支持包括微信支付，开放平台，小程序，企业微信，视频号，公众号等的后端开发,Apache License 2.0,0,0,0,2016-01-06
apache/kafka,https://github.com/apache/kafka,29473,Mirror of Apache Kafka,Apache License 2.0,0,0,0,2011-08-15
google/guava,https://github.com/google/guava,50528,Google core libraries for Java,Apache License 2.0,0,0,0,2014-05-29
kdn251/interviews,https://github.com/kdn251/interviews,63927,Everything you need to know to get the job.,The MIT License,0,0,0,2017-02-14
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,57335,Spring Framework,Apache License 2.0,0,0,0,2010-12-08
eugenp/tutorials,https://github.com/eugenp/tutorials,37012,Getting Started with Spring Boot 3: ,The MIT License,0,0,0,2013-04-29
apache/flink,https://github.com/apache/flink,24532,Apache Flink,Apache License 2.0,0,0,0,2014-06-07
proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,24913,http下载工具，基于http代理，支持多连接分块下载,Apache License 2.0,0,0,0,2017-10-25
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,23634,Jenkins automation server,The MIT License,0,0,0,2010-11-22
apache/incubator-seata,https://github.com/apache/incubator-seata,25504,":fire: Seata is an easy-to-use, high-performance, open source distributed transaction solution.",Apache License 2.0,0,0,0,2018-12-28
iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,21311,A tool for reverse engineering Android apk files,Apache License 2.0,0,0,0,2012-03-19
elunez/eladmin,https://github.com/elunez/eladmin,21490,eladmin jpa 版本：项目基于 Spring Boot 2.7.18、 Jpa、 Spring Security、Redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由,Apache License 2.0,0,0,0,2018-12-14
apache/rocketmq,https://github.com/apache/rocketmq,21527,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications.",Apache License 2.0,0,0,0,2016-11-30
