name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
reactiveui/refit,https://github.com/reactiveui/refit,8843,"The automatic type-safe REST library for .NET Core, Xamarin and .NET. Heavily inspired by Square's Retrofit library, Refit turns your REST API into a live interface.",The MIT License,8,0,8,2013-07-22
dotnet/maui,https://github.com/dotnet/maui,22462,".NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop.",The MIT License,0,8,8,2020-05-08
winsw/winsw,https://github.com/winsw/winsw,12589,"A wrapper executable that can run any executable as a Windows service, in a permissive license.",The MIT License,0,7,7,2010-02-03
lepoco/wpfui,https://github.com/lepoco/wpfui,8033,"WPF UI provides the Fluent experience in your known and loved WPF framework. Intuitive design, themes, navigation and new immersive controls. All natively and effortlessly.",The MIT License,6,0,6,2021-07-24
microsoft/FASTER,https://github.com/microsoft/FASTER,6373,"Fast persistent recoverable log and key-value store + cache, in C# and C++.",The MIT License,1,4,5,2018-08-02
dotnet/eShop,https://github.com/dotnet/eShop,7200,A reference .NET application implementing an eCommerce site,The MIT License,5,0,5,2023-10-18
canton7/SyncTrayzor,https://github.com/canton7/SyncTrayzor,6077,Windows tray utility / filesystem watcher / launcher for Syncthing,The MIT License,0,5,5,2015-02-08
aalhour/C-Sharp-Algorithms,https://github.com/aalhour/C-Sharp-Algorithms,6022,:books: :chart_with_upwards_trend: Plug-and-play class-library project of standard Data Structures and Algorithms in C#,The MIT License,3,2,5,2015-05-14
0x7c13/Notepads,https://github.com/0x7c13/Notepads,9050,"A modern, lightweight text editor with a minimalist design.",The MIT License,3,1,4,2019-06-01
quartznet/quartznet,https://github.com/quartznet/quartznet,6664,Quartz Enterprise Scheduler .NET,Apache License 2.0,0,3,3,2010-12-30
dvf/blockchain,https://github.com/dvf/blockchain,7874,A simple Blockchain in Python,The MIT License,0,3,3,2017-09-24
Ryubing/Ryujinx,https://github.com/Ryubing/Ryujinx,7957,"Nintendo Switch emulator written in C#, originally created by gdkchan.",The MIT License,0,2,2,2024-10-06
Flow-Launcher/Flow.Launcher,https://github.com/Flow-Launcher/Flow.Launcher,8862,:mag: Quick file search & app launcher for Windows with community-made plugins,The MIT License,0,2,2,2020-04-21
thangchung/clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,7299,:bathtub:  Clean Code concepts and tools adapted for .NET ,The MIT License,0,2,2,2017-09-11
lucasg/Dependencies,https://github.com/lucasg/Dependencies,9510,"A rewrite of the old legacy software ""depends.exe"" in C# for Windows devs to troubleshoot dll load dependencies issues.",The MIT License,1,0,1,2017-06-25
kgrzybek/modular-monolith-with-ddd,https://github.com/kgrzybek/modular-monolith-with-ddd,11479,Full Modular Monolith application with Domain-Driven Design approach.,The MIT License,0,1,1,2019-08-23
jasontaylordev/CleanArchitecture,https://github.com/jasontaylordev/CleanArchitecture,17609,Clean Architecture Solution Template for ASP.NET Core,The MIT License,0,1,1,2019-10-07
JeffreySu/WeiXinMPSDK,https://github.com/JeffreySu/WeiXinMPSDK,8540,微信全平台 .NET SDK， Senparc.Weixin for C#，支持 .NET Framework 及 .NET Core、.NET 8.0。已支持微信公众号、小程序、小游戏、微信支付、企业微信/企业号、开放平台、JSSDK、微信周边等全平台。 WeChat SDK for C#.,Apache License 2.0,1,0,1,2013-01-11
StockSharp/StockSharp,https://github.com/StockSharp/StockSharp,7719,"Algorithmic trading and quantitative trading open source platform to develop trading robots (stock markets, forex, crypto, bitcoins, and options).",Apache License 2.0,1,0,1,2014-12-08
JosefNemec/Playnite,https://github.com/JosefNemec/Playnite,10095,"Video game library manager with support for wide range of 3rd party libraries and game emulation support, providing one unified interface for your games.",The MIT License,0,0,0,2017-03-25
QuantConnect/Lean,https://github.com/QuantConnect/Lean,10567,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#)",Apache License 2.0,0,0,0,2014-11-28
ppy/osu,https://github.com/ppy/osu,16061,rhythm is just a *click* away!,The MIT License,0,0,0,2014-07-31
PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,46455,PowerShell for every system!,The MIT License,0,0,0,2016-01-13
nilaoda/BBDown,https://github.com/nilaoda/BBDown,10568,Bilibili Downloader. 一个命令行式哔哩哔哩下载器.,The MIT License,0,0,0,2020-07-26
JamesNK/Newtonsoft.Json,https://github.com/JamesNK/Newtonsoft.Json,10937,Json.NET is a popular high-performance JSON framework for .NET,The MIT License,0,0,0,2012-02-18
jbogard/MediatR,https://github.com/jbogard/MediatR,11398,"Simple, unambitious mediator implementation in .NET",Apache License 2.0,0,0,0,2014-03-03
JustArchiNET/ArchiSteamFarm,https://github.com/JustArchiNET/ArchiSteamFarm,11687,C# application with primary purpose of farming Steam cards from multiple accounts simultaneously.,Apache License 2.0,0,0,0,2015-10-25
nilaoda/N_m3u8DL-CLI,https://github.com/nilaoda/N_m3u8DL-CLI,14749,"[.NET] m3u8 downloader 开源的命令行m3u8/HLS/dash下载器，支持普通AES-128-CBC解密，多线程，自定义请求头等. 支持简体中文,繁体中文和英文. English Supported.",The MIT License,0,0,0,2019-04-18
marticliment/UniGetUI,https://github.com/marticliment/UniGetUI,14501,UniGetUI: The Graphical Interface for your package managers. Could be terribly described as a package manager manager to manage your package managers,The MIT License,0,0,0,2021-06-15
mxgmn/MarkovJunior,https://github.com/mxgmn/MarkovJunior,7633,"Probabilistic language based on pattern matching and constraint propagation, 153 examples",The MIT License,0,0,0,2022-06-01
YSGStudyHards/DotNetGuide,https://github.com/YSGStudyHards/DotNetGuide,7673,🌈【C#/.NET/.NET Core学习、工作、面试指南】记录、收集和总结C#/.NET/.NET Core基础知识、学习路线、开发实战、编程技巧练习、学习视频、文章、书籍、项目框架、社区组织、开发必备工具、技术前沿周刊、常见面试题、面试须知、简历模板、人才招聘、以及自己在学习和工作中的一些微薄见解。希望能和大家一起学习，共同进步。如果本知识库能为您提供帮助，别忘了给予支持哦(关注、点赞、分享)💖。,The MIT License,0,0,0,2020-10-08
XINCGer/Unity3DTraining,https://github.com/XINCGer/Unity3DTraining,7950,【Unity杂货铺】unity大杂烩~,The MIT License,0,0,0,2016-04-25
microsoft/ailab,https://github.com/microsoft/ailab,7760,"Experience, Learn and Code the latest breakthrough innovations with Microsoft AI",The MIT License,0,0,0,2018-07-23
Richasy/Bili.Uwp,https://github.com/Richasy/Bili.Uwp,8395,适用于新系统UI的哔哩,The MIT License,0,0,0,2021-05-30
spectreconsole/spectre.console,https://github.com/spectreconsole/spectre.console,9823,A .NET library that makes it easier to create beautiful console applications.,The MIT License,0,0,0,2020-07-21
