name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
sshh12/spark-stack,https://github.com/sshh12/spark-stack,153,Spark Stack is an tool for building web applications through an AI-powered chat interface. Create quick MVPs and prototypes using natural language prompts.,The MIT License,0,0,4,0,2024-11-09
anaisbetts/mcp-youtube,https://github.com/anaisbetts/mcp-youtube,149,A Model-Context Protocol Server for YouTube,The MIT License,0,0,4,0,2024-11-19
AgentDeskAI/browser-tools-mcp,https://github.com/AgentDeskAI/browser-tools-mcp,127,Monitor browser logs directly from Cursor and other MCP compatible IDEs.,The MIT License,0,0,4,0,2025-02-10
suekou/mcp-notion-server,https://github.com/suekou/mcp-notion-server,108,,The MIT License,0,0,4,0,2024-11-30
yuchentime/xhs-tools-extension,https://github.com/yuchentime/xhs-tools-extension,99,小红书运营工具箱,The MIT License,0,0,4,0,2025-01-06
GlobalTechInfo/GLOBAL-MD,https://github.com/GlobalTechInfo/GLOBAL-MD,90,,The MIT License,0,0,4,0,2024-10-07
Nearcyan/BlueRaven,https://github.com/Nearcyan/BlueRaven,83,Twitter (sometimes known as X) can look prettier with this simple AddOn!,The MIT License,0,0,4,0,2025-01-25
serverless/containers,https://github.com/serverless/containers,75,A rich developer experience for deploying containers to AWS Lambda and AWS ECS Fargate – without rearchitecting.,The MIT License,0,0,4,0,2025-01-16
laure1102/lpanda,https://github.com/laure1102/lpanda,74,AI 小说生成推文漫画视频,The MIT License,0,0,4,0,2024-08-23
recitativonika/Dawn-Validator-bot,https://github.com/recitativonika/Dawn-Validator-bot,69,DAWN Validator Extension automatic claim,The MIT License,0,0,4,0,2024-10-13
daniela-hase/onvif-server,https://github.com/daniela-hase/onvif-server,66,Virtual Onvif Server - Add support for multichannel Onvif cameras to Unifi Protect!,The MIT License,0,0,4,0,2024-10-10
codematrixer/ui-viewer,https://github.com/codematrixer/ui-viewer,64,"UI hierarchy inspector for Mobile App, supporting Android, iOS, HarmonyOS NEXT.",The MIT License,0,0,4,0,2024-09-29
Zlkcyber/takerBot,https://github.com/Zlkcyber/takerBot,62,Taker Bot Auto Activate Daily Mining,The MIT License,0,0,4,0,2025-01-05
KOSASIH/PiWallet-Pro,https://github.com/KOSASIH/PiWallet-Pro,56,A Next-Generation Wallet for Pi Network,Apache License 2.0,0,0,4,0,2024-08-24
Zlkcyber/hiveraBot,https://github.com/Zlkcyber/hiveraBot,55,hivera miniApp bot auto mining,The MIT License,0,0,4,0,2024-12-16
gitsub66/3Kmfi6HP_EDtunnel_20240711,https://github.com/gitsub66/3Kmfi6HP_EDtunnel_20240711,54,,The MIT License,0,0,4,0,2024-07-11
Dev-AhmedRabby/solana-arbitrage-bot,https://github.com/Dev-AhmedRabby/solana-arbitrage-bot,53,Automated Arbitrage Bot Using Jupiter on Solana,The MIT License,0,0,4,0,2025-02-15
