name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
17TheWord/QueQiao,https://github.com/17TheWord/QueQiao,41,鹊桥，将Minecraft服务器连接至NoneBot2（不止是NoneBot）的服务端插件/Mod。,The MIT License,0,0,3,0,2024-07-28
WinterAlexander/HanziResourcePack,https://github.com/WinterAlexander/HanziResourcePack,31,Minecraft resource pack generator that replace textures by Chinese characters! Practice your basic chinese while playing Minecraft,Apache License 2.0,0,0,3,0,2024-11-28
hexaredecimal/BlazingWebX,https://github.com/hexaredecimal/BlazingWebX,23,A java library for creating webservers and building web user interfaces 100% in java.,The MIT License,0,0,3,0,2024-07-30
642933588/jiron-cloud,https://github.com/642933588/jiron-cloud,365,该项目整合了多款优秀的开源产品，构建了一个功能全面的数据开发平台。平台提供了强大的数据集成、数据开发、数据查询、数据服务、数据质量管理、工作流调度和元数据管理功能。#dinky #dolphinscheduler #datavines #flinkcdc #openmetadata #flink #数据开发 #数据平台 # 数据开发平台 #大数据,Apache License 2.0,0,0,2,0,2024-07-10
Osiris-Team/1JPM,https://github.com/Osiris-Team/1JPM,220,"Maven/Gradle alternative with a twist: its a single Java file, which should be edited by you to configure your project.",The MIT License,0,0,2,0,2024-07-07
Zy-Fang1102/E-Stega,https://github.com/Zy-Fang1102/E-Stega,123,Efficient Steganalysis System,The MIT License,0,0,2,0,2024-12-09
springaialibaba/spring-ai-alibaba-examples,https://github.com/springaialibaba/spring-ai-alibaba-examples,102,Examples demonstrating usage of Spring AI Alibaba,Apache License 2.0,0,0,2,0,2024-12-12
advent-of-craft/2024,https://github.com/advent-of-craft/2024,94,Advent of Craft 2024,The MIT License,0,0,2,0,2024-08-30
Azure-Samples/agent-openai-java-banking-assistant,https://github.com/Azure-Samples/agent-openai-java-banking-assistant,53,multi-agents banking assistant with Java and Semantic Kernel,The MIT License,0,0,2,0,2024-09-11
AbdurazaaqMohammed/APKExtractor,https://github.com/AbdurazaaqMohammed/APKExtractor,46,"Simple APK extractor app for Android, supports split APKs and saving them as single APK",Apache License 2.0,0,0,2,0,2024-09-06
masa42/CVE-2024-38819-POC,https://github.com/masa42/CVE-2024-38819-POC,37,,The MIT License,0,0,2,0,2024-12-14
