name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
jiqiu2022/Zygisk-MyInjector,https://github.com/jiqiu2022/Zygisk-MyInjector,123,一个自定义注入so的脚手架,The MIT License,0,0,4,0,2024-10-05
robalb/x86-64-playground,https://github.com/robalb/x86-64-playground,115,An online assembly editor and debugger for the x86-64 architecture,ISC License,0,0,4,0,2024-08-29
rexim/tore,https://github.com/rexim/tore,77,Simple Console Reminder Application,The MIT License,0,0,4,0,2024-10-16
refacktor-aws/aws-lambda-libc-runtime,https://github.com/refacktor-aws/aws-lambda-libc-runtime,61,"An extremely small and fast AWS Lambda runtime with sub-5ms cold starts. Works with C and Rust. I call it ""the Lambda libc runtime"" because glibc is the only link-time dependency, and the choice of programming language binding is somewhat secondary to the design.",Apache License 2.0,0,0,4,0,2024-11-25
ro8inmorgan/LedControl,https://github.com/ro8inmorgan/LedControl,57,Led Control app for TrimUI Brick,The MIT License,0,0,4,0,2024-12-26
microbotsio/CodeCell,https://github.com/microbotsio/CodeCell,47,"A penny-sized board that can help you miniaturize DIY Robots, Wearables & other IoT projects!! It includes an Arduino friendly ESP32-C3 Wifi & BLE module, USBC LiPo Battery Charger with onboard Battery Connector, Light Sensor, and an optional Motion Sensor",Apache License 2.0,0,0,4,0,2024-08-14
geerlingguy/pi-overvolt,https://github.com/geerlingguy/pi-overvolt,39,Pi Overvolt firmware hack - WARNING: USE AT YOUR OWN RISK!,The MIT License,0,0,4,0,2024-07-25
BegoonLab/xiao-esp32c6-wifi-sensor,https://github.com/BegoonLab/xiao-esp32c6-wifi-sensor,31,Wi-Fi sensor based on XIAO ESP32-C6,The MIT License,0,0,4,0,2024-09-27
eschaton/MINIXCompat,https://github.com/eschaton/MINIXCompat,27,"A compatibility environment that can run M68000 MINIX 1.5 binaries, for example to enable building M68000 MINIX on a modern UNIX.",The MIT License,0,0,4,0,2024-12-05
kaijia2022/Cheat-Engine-DMA-Plugin,https://github.com/kaijia2022/Cheat-Engine-DMA-Plugin,26,DMA plugin for Cheat Engine with functional pointer scanning ,The MIT License,0,0,4,0,2024-07-22
mikex86/LibreCuda,https://github.com/mikex86/LibreCuda,1019,,The MIT License,0,0,3,0,2024-07-24
skaiui2/SKRTOS_sparrow,https://github.com/skaiui2/SKRTOS_sparrow,277,Lightweight rtos inspired by SKRTOS,The MIT License,0,0,3,0,2024-10-06
varwara/CVE-2024-35250,https://github.com/varwara/CVE-2024-35250,275,PoC for the Untrusted Pointer Dereference in the ks.sys driver,The MIT License,0,0,3,0,2024-10-13
kekeimiku/LuckySpeeder,https://github.com/kekeimiku/LuckySpeeder,155,幸运变速器,The MIT License,0,0,3,0,2024-12-07
libsdl-org/SDL_shadercross,https://github.com/libsdl-org/SDL_shadercross,149,Shader translation library for SDL's GPU API. ,Zlib/libpng License,0,0,3,0,2024-07-19
GaryOderNichts/alarmo,https://github.com/GaryOderNichts/alarmo,144,Tools and code for the Nintendo Alarmo.,The MIT License,0,0,3,0,2024-10-30
Aladdin-Wang/MicroBoot,https://github.com/Aladdin-Wang/MicroBoot,114,MicroBoot 是一个由模块化代码组成的框架，旨在简化和加速嵌入式单片机程序的升级和开发过程。,Apache License 2.0,0,0,3,0,2024-08-12
huuck/FlipperZeroNRFJammer,https://github.com/huuck/FlipperZeroNRFJammer,75,Simple Flipper Zero nRF24 jammer for the 2.4Ghz spectrum,The MIT License,0,0,3,0,2024-12-03
StuckAtPrototype/PCB_business_card_remake,https://github.com/StuckAtPrototype/PCB_business_card_remake,74,,Apache License 2.0,0,0,3,0,2024-10-31
tree-sitter/go-tree-sitter,https://github.com/tree-sitter/go-tree-sitter,65,Go bindings for tree-sitter,The MIT License,0,0,3,0,2024-08-13
